FIPS,totalpop,zip,long,lat,poverty,poverty_pctl
06075023200,3972,94124,-122.3861386,37.7277547,27.3,49.12
06075017902,3008,94130,-122.419701,37.8619483,66.7,95.90
06075023103,2890,94124,-122.3759653,37.7356318,71.7,97.95
06075023001,5398,94124,-122.4017602,37.7351925,30.7,54.95
06075023400,3661,94124,-122.3900882,37.7215929,40.1,69.35
06075023102,4549,94124,-122.3844982,37.734492,48.1,79.82
06075980600,690,94124,-122.3685424,37.7231655,31.4,56.07
06075023300,3739,94124,-122.3977689,37.7254139,33.4,59.23
06075061200,3842,94124,-122.3901777,37.7370414,27.4,49.31
06075012502,3674,94102,-122.4125954,37.783933,56.4,88.53
06075061000,4839,94134,-122.3846994,37.7132283,28.5,51.41
06075017802,6367,94103,-122.4087033,37.7760649,41.8,71.91
06075025702,4401,94134,-122.4057589,37.7281305,32.7,58.23
06075023003,4084,94124,-122.3958269,37.7326723,24.9,44.22
06075012501,4293,94102,-122.4109765,37.783016,60.4,91.91
06075020100,6343,94103,-122.4200011,37.7686074,37.3,65.08
06075017601,10343,94103,-122.4107241,37.7794338,28.9,52.11
06075026403,4082,94134,-122.4069033,37.7111894,22.6,39.82
06075026402,5102,94134,-122.403256,37.7164873,30.1,54.15
06075061400,6283,94107,-122.3974733,37.7550917,34.2,60.45
06075012301,2117,94102,-122.4107461,37.7859203,54.7,86.86
06075018000,3457,94103,-122.4022764,37.7753304,26.1,46.61
06075012402,4662,94102,-122.4177669,37.780125,33.3,59.08
06075025800,2224,94134,-122.4020019,37.7216202,27.3,49.12
06075012000,3973,94109,-122.4185205,37.7879651,36.9,64.50
06075033204,4698,94132,-122.4804118,37.7196259,47.1,78.63
06075012401,4667,94102,-122.415789,37.7830511,47.7,79.31
06075010700,5548,94133,-122.4100466,37.798514,56.9,89.06
06075025500,9684,94112,-122.4372627,37.7280611,18.7,31.26
06075026404,2897,94134,-122.4152838,37.7096499,30.6,54.79
06075020200,6131,94103,-122.4241789,37.7671163,30.4,54.55
06075022802,2438,94110,-122.4062322,37.7589152,29.6,53.27
06075026100,7455,94112,-122.4431582,37.7196219,22,38.33
06075020900,4597,94110,-122.4184125,37.7518186,25.7,45.74
06075017700,1915,94103,-122.4124868,37.7680392,21.3,36.80
06075017801,3891,94107,-122.4011589,37.7820284,48,79.66
06075011300,2843,94108,-122.4093492,37.7946971,43.4,73.89
06075026401,3738,94134,-122.4112834,37.7135251,22.2,38.91
06075022901,4856,94110,-122.4139453,37.7511975,32,57.01
06075980501,507,94134,-122.4191554,37.7162957,58.8,90.74
06075025701,5088,94134,-122.4121411,37.7315763,19,32.05
06075031400,7096,94112,-122.4571446,37.7147206,29.6,53.27
06075022801,5769,94110,-122.4125093,37.7607261,26.4,47.32
06075061100,4477,94111,-122.4040647,37.7955998,68.1,96.62
06075012302,2713,94102,-122.412097,37.7870223,29.9,53.87
06075022903,3240,94110,-122.4062364,37.7517621,23,40.55
06075011700,1790,94108,-122.4034859,37.7904674,33.4,59.23
06075012202,3181,94109,-122.4196438,37.7854142,54.6,86.68
06075011800,1570,94108,-122.4061645,37.7933506,44.6,75.52
06075020800,6458,94110,-122.4191487,37.7594331,24.6,43.73
06075031201,6690,94112,-122.4573334,37.7217805,22.5,39.62
06075010600,3429,94133,-122.4063879,37.7993784,35.3,62.25
06075022902,2483,94110,-122.4103784,37.7513411,21.1,36.42
06075012201,4620,94109,-122.4163535,37.7858464,32.6,58.02
06075016802,3622,94102,-122.4249293,37.7735403,20,34.21
06075026001,5986,94112,-122.4322434,37.7235502,32.7,58.23
06075031302,6109,94132,-122.467097,37.7133955,21.9,38.13
06075010100,3889,94133,-122.4085794,37.8084198,48.4,80.11
06075025100,3473,94110,-122.4076735,37.7439369,12.7,16.32
06075033201,4551,94132,-122.4796588,37.726265,67.5,96.33
06075060700,13222,94158,-122.3906714,37.7723808,16.1,24.72
06075026200,7903,94112,-122.4539535,37.7113172,27.1,48.73
06075047701,4569,94121,-122.4840627,37.7782506,23.5,41.66
06075015801,3837,94115,-122.4373557,37.7813029,26.2,46.82
06075042700,5379,94121,-122.4881473,37.7822651,26.4,47.32
06075012100,3859,94102,-122.4118881,37.7888066,22.9,40.34
06075022803,5224,94110,-122.4120842,37.7558368,22.8,40.11
06075031202,3394,94112,-122.4523964,37.7193276,27.4,49.31
06075047902,3632,94121,-122.5039633,37.7791834,13.4,18.18
06075025900,4618,94134,-122.4105033,37.7234533,13.5,18.44
06075026004,4649,94112,-122.4357008,37.7178905,20.9,36.11
06075016100,5340,94115,-122.4286631,37.7799831,57.9,90.05
06075031301,4241,94132,-122.4678672,37.7193263,20.6,35.57
06075060502,3511,94134,-122.4199075,37.7109991,57.6,89.76
06075025402,3427,94110,-122.412786,37.7368829,14.7,21.27
06075016000,2562,94102,-122.4224838,37.7823363,30.7,54.95
06075011100,4835,94109,-122.419076,37.7907445,17.1,27.35
06075026301,5083,94112,-122.439533,37.7138685,28.2,50.85
06075033203,3956,94132,-122.4782503,37.7159256,41.2,70.84
06075025403,4782,94110,-122.4205619,37.7337691,26.8,48.20
06075010800,5038,94133,-122.4142914,37.7964984,23.4,41.48
06075011200,3329,94108,-122.4127333,37.7929713,17.3,27.85
06075033100,3895,94132,-122.4872238,37.7321973,15.2,22.47
06075016200,3278,94102,-122.4228856,37.777158,19.4,33.00
06075025600,5314,94134,-122.4224279,37.7287139,16,24.42
06075047802,3869,94121,-122.497393,37.779204,23.1,40.80
06075060400,1596,94132,-122.4911286,37.7223022,15.3,22.71
06075020700,4793,94110,-122.4235588,37.759168,13.1,17.49
06075010500,2779,94111,-122.3990586,37.8026841,23,40.55
06075047801,4421,94121,-122.4921143,37.7758371,14.6,20.95
06075047702,3927,94121,-122.4837889,37.7744602,20.5,35.35
06075032802,4432,94122,-122.4812305,37.7530955,12.2,15.03
06075025200,5256,94110,-122.4142164,37.7437089,10,10.14
06075032801,4401,94116,-122.4804177,37.7460215,14.7,21.27
06075011901,2699,94108,-122.4139142,37.7904728,12,14.66
06075045200,7286,94118,-122.467999,37.7771137,19.1,32.27
06075033000,8127,94116,-122.4834271,37.7381567,16.4,25.43
06075042601,4004,94121,-122.4811913,37.7831165,19.1,32.27
06075061500,16968,94105,-122.3923886,37.7877258,15,22.01
06075015200,4277,94115,-122.4302666,37.7879139,21,36.28
06075025401,3775,94110,-122.4224695,37.7396295,20.4,35.15
06075011000,5127,94109,-122.4198054,37.7943823,17,27.05
06075040200,5600,94118,-122.4683889,37.7843252,16.4,25.43
06075047901,7589,94121,-122.5098633,37.7824907,17.1,27.35
06075032602,4753,94122,-122.4825954,37.7589003,18,29.46
06075025300,4454,94110,-122.4201527,37.7437059,14.1,19.89
06075035300,7487,94116,-122.4978433,37.7425001,20.7,35.75
06075010300,4359,94133,-122.4156811,37.8016201,16.1,24.72
06075016300,4658,94102,-122.4295509,37.7760456,14,19.60
06075026003,5126,94112,-122.4287994,37.7196247,12.1,14.79
06075026302,5255,94112,-122.4307918,37.7116589,20.2,34.70
06075015900,4832,94115,-122.4293428,37.78334,27.7,50.01
06075022600,3213,94107,-122.3835595,37.762479,6.4,3.18
06075015300,2289,94115,-122.4393346,37.7867618,8.2,6.48
06075022704,3367,94107,-122.4019893,37.7609519,12.9,16.82
06075010400,4536,94133,-122.4075581,37.8022725,13.2,17.71
06075022702,2298,94107,-122.3956056,37.7625436,7.3,4.72
06075035400,7342,94116,-122.5072276,37.7421024,15,22.01
06075015500,3551,94115,-122.434135,37.7850923,23.4,41.48
06075042800,2507,94121,-122.4885865,37.7880433,5.4,1.98
06075011902,2712,94108,-122.4098067,37.7909959,18,29.46
06075026303,4822,94112,-122.4434663,37.7096646,18,29.46
06075016500,5267,94117,-122.4477884,37.7741958,18.8,31.55
06075026002,3644,94112,-122.4262823,37.7261197,20.1,34.48
06075035202,5244,94122,-122.5061466,37.7613974,20.6,35.57
06075032601,5211,94122,-122.4807924,37.7624848,18.4,30.46
06075047600,5670,94118,-122.475543,37.7767698,12,14.66
06075035201,5704,94122,-122.5104339,37.7566148,18.9,31.73
06075015700,8904,94118,-122.4480069,37.7789154,18.7,31.26
06075045100,5126,94118,-122.4613476,37.777583,13.3,17.89
06075032902,4457,94122,-122.4906443,37.7526805,17.3,27.85
06075030201,4529,94122,-122.4737784,37.7628146,10.9,12.16
06075040100,4560,94118,-122.4618142,37.7851543,15,22.01
06075042602,2861,94118,-122.4754787,37.7833793,8,6.08
06075021000,4523,94110,-122.422849,37.7515789,15.2,22.47
06075013300,4634,94118,-122.4524293,37.7887307,15.9,24.17
06075016900,3254,94114,-122.4324782,37.7670961,13.5,18.44
06075016600,5691,94117,-122.4474539,37.7704942,13,17.19
06075030900,7103,94127,-122.4682602,37.7283108,9.2,8.38
06075015100,2624,94109,-122.4234011,37.7874457,11.6,13.73
06075013500,2606,94115,-122.4325551,37.7908976,13,17.19
06075010900,4486,94109,-122.4205531,37.7980418,17.3,27.85
06075015600,3506,94118,-122.4564254,37.7782427,21.8,37.89
06075015400,5951,94118,-122.4510358,37.7843608,8.6,7.24
06075013101,4061,94109,-122.4247493,37.7937758,7.9,5.92
06075032700,6898,94122,-122.4911676,37.760167,11.1,12.69
06075013400,3742,94115,-122.440799,37.789849,4.8,1.37
06075032901,5615,94116,-122.4901861,37.7461534,10.6,11.44
06075010200,4167,94109,-122.4229252,37.8058607,6.8,4.02
06075030101,5048,94122,-122.4597306,37.7642357,18.1,29.74
06075016700,5376,94117,-122.4377358,37.7703481,12.5,15.83
06075016801,4145,94117,-122.4290086,37.7713294,17.3,27.85
06075012700,4092,94123,-122.4447181,37.8049898,7.6,5.35
06075013200,4292,94115,-122.4387455,37.7936676,5.2,1.75
06075035100,9116,94122,-122.4991499,37.7576269,13.3,17.89
06075031000,3804,94112,-122.4571587,37.7286172,10,10.14
06075030301,5914,94122,-122.4692415,37.7569429,17.4,28.17
06075031100,6437,94112,-122.4461642,37.7296356,9.3,8.53
06075030202,4438,94122,-122.4673274,37.7630839,16.1,24.72
06075012602,2844,94123,-122.4356807,37.806476,9.3,8.53
06075012800,4556,94123,-122.4417466,37.7978099,11,12.45
06075030400,5573,94116,-122.4675173,37.7469509,10.8,11.95
06075017101,4113,94117,-122.4460837,37.7657245,7.5,5.09
06075013102,3012,94109,-122.4274293,37.7926193,12.2,15.03
06075016400,4008,94117,-122.4369729,37.7750995,7.8,5.80
06075021500,5674,94131,-122.426705,37.7450512,11.9,14.48
06075015802,3412,94115,-122.4385023,37.778079,17.4,28.17
06075012601,2516,94123,-122.4391478,37.8022695,8.6,7.24
06075017102,4095,94117,-122.4504754,37.7654353,15.5,23.17
06075020402,4564,94131,-122.4444148,37.7528357,14.5,20.80
06075030102,5262,94131,-122.4580012,37.7594542,10.7,11.67
06075030700,7024,94127,-122.4503095,37.7372232,13.1,17.49
06075030302,4348,94116,-122.4716376,37.7519442,13.5,18.44
06075030500,3230,94131,-122.4517871,37.7523832,14,19.60
06075021700,4556,94131,-122.4392706,37.740278,13.8,19.12
06075012902,3865,94123,-122.4321032,37.8006155,8,6.08
06075020300,3548,94114,-122.4294368,37.7649411,15.7,23.66
06075020600,5191,94114,-122.4303496,37.7595628,9.6,9.27
06075017000,4287,94114,-122.4394975,37.7648874,5.4,1.98
06075021400,3823,94114,-122.4294049,37.7495758,7.6,5.35
06075030600,2495,94127,-122.4571446,37.743754,9.7,9.46
06075021800,4095,94131,-122.4290987,37.737952,8.3,6.73
06075021200,3105,94114,-122.4381261,37.7531762,3.3,0.35
06075012901,2783,94123,-122.427246,37.8019611,5.8,2.47
06075021100,4080,94114,-122.4298144,37.75397,8.9,7.83
06075030800,6226,94127,-122.4678545,37.7391922,5.5,2.12
06075020401,3176,94114,-122.4434836,37.7595166,9.9,9.85
06075060100,4226,94129,-122.480109,37.7991353,10.8,11.95
06075013000,4719,94123,-122.4305121,37.7972449,11.7,14.05
06075020500,3046,94114,-122.4370296,37.7591285,10,10.14
06075021600,4135,94131,-122.4381417,37.7454964,11.2,12.84
06075021300,2590,94114,-122.4384676,37.7492646,8.7,7.37
06075980200,312,94121,-122.5028261,37.7860688,NA,NA
06075980300,63,94122,-122.4920873,37.7684025,NA,NA
06075980900,253,94124,-122.389477,37.7462861,24.5,43.53